# Auto-generated by scripts/annotate_regions.py — DO NOT EDIT BY HAND.
# See src/data/syntactic_regions.py for the annotation scheme.
story	item_id	region	zone_start	zone_end	note
1	s1_ctrl_on_5	control	21	21	control NOUN `moors`
1	s1_ctrl_on_6	control	25	25	control NOUN `mountains`
1	s1_ctrl_on_7	control	26	26	control NOUN `It`
1	s1_ctrl_on_8	control	30	30	control NOUN `valley`
1	s1_ctrl_on_9	control	32	32	control NOUN `you`
1	s1_ctrl_on_10	control	38	38	control NOUN `Bradford`
1	s1_ctrl_on_11	control	45	45	control NOUN `that`
1	s1_ctrl_on_12	control	50	50	control NOUN `wool`
1	s1_ctrl_on_13	control	52	52	control NOUN `money`
1	s1_ctrl_on_14	control	56	56	control NOUN `mill`
1	s1_ctrl_on_15	control	57	57	control NOUN `owners`
1	s1_ctrl_on_16	control	60	60	control NOUN `mill`
1	s1_ctrl_on_17	control	61	61	control NOUN `owners`
1	s1_ctrl_on_18	control	66	66	control NOUN `beavers`
1	s1_ctrl_on_19	control	71	71	control NOUN `themselves`
1	s1_ctrl_on_20	control	83	83	control NOUN `residents`
1	s1_ctrl_on_21	control	85	85	control NOUN `Bradford`
1	s1_ctrl_on_22	control	88	88	control NOUN `you`
1	s1_ctrl_on_23	control	94	94	control NOUN `city`
1	s1_ctrl_on_24	control	99	99	control NOUN `City`
1	s1_ctrl_on_25	control	100	100	control NOUN `Hall`
1	s1_ctrl_on_26	control	101	101	control NOUN `you`
1	s1_ctrl_on_27	control	109	109	control NOUN `City`
1	s1_ctrl_on_28	control	111	111	control NOUN `Bradford`
1	s1_ctrl_on_29	control	112	112	control NOUN `which`
1	s1_ctrl_on_30	control	115	115	control NOUN `mill`
1	s1_ctrl_on_31	control	116	116	control NOUN `owners`
1	s1_ctrl_di_0	control	3	3	control VERB `were`
1	s1_ctrl_di_1	control	5	5	control VERB `journey`
1	s1_ctrl_di_2	control	12	12	control VERB `would`
1	s1_ctrl_di_3	control	13	13	control VERB `come`
1	s1_ctrl_di_4	control	18	18	control VERB `is`
1	s1_ctrl_di_5	control	27	27	control VERB `is`
1	s1_ctrl_di_6	control	33	33	control VERB `would`
1	s1_ctrl_di_7	control	34	34	control VERB `find`
1	s1_ctrl_di_8	control	43	43	control VERB `spinning`
1	s1_ctrl_di_9	control	48	48	control VERB `clattered`
1	s1_ctrl_di_10	control	62	62	control VERB `were`
1	s1_ctrl_di_11	control	73	73	control VERB `being`
1	s1_ctrl_di_12	control	79	79	control VERB `was`
1	s1_ctrl_di_13	control	80	80	control VERB `known`
1	s1_ctrl_di_14	control	89	89	control VERB `were`
1	s1_ctrl_di_15	control	91	91	control VERB `go`
1	s1_ctrl_di_16	control	96	96	control VERB `visit`
1	s1_ctrl_di_17	control	102	102	control VERB `would`
1	s1_ctrl_di_18	control	103	103	control VERB `see`
1	s1_ctrl_di_19	control	119	119	control VERB `celebrate`
1	s1_ctrl_di_20	control	123	123	control VERB `shows`
1	s1_ctrl_di_21	control	126	126	control VERB `looking`
1	s1_ctrl_di_22	control	136	136	control VERB `seems`
1	s1_ctrl_di_23	control	146	146	control VERB `is`
1	s1_ctrl_di_24	control	152	152	control VERB `was`
1	s1_ctrl_di_25	control	155	155	control VERB `has`
1	s1_ctrl_di_26	control	183	183	control VERB `was`
1	s1_ctrl_di_27	control	184	184	control VERB `bringing`
1	s1_ctrl_di_28	control	191	191	control VERB `ravaging`
1	s1_ctrl_di_29	control	201	201	control VERB `liked`
1	s1_ctrl_di_30	control	203	203	control VERB `go`
1	s1_ctrl_di_31	control	213	213	control VERB `drink`
2	s2_relcl_48	onset	40	40	RC head `fellow`
2	s2_relcl_48	disambig	44	44	RC verb `danced`
2	s2_relcl_241	onset	211	211	RC head `sun`
2	s2_relcl_241	disambig	213	213	RC verb `knew`
2	s2_relcl_323	onset	282	282	RC head `drops`
2	s2_relcl_323	disambig	284	284	RC verb `danced`
2	s2_relcl_346	onset	302	302	RC head `sunbeams`
2	s2_relcl_346	disambig	306	306	RC verb `let`
2	s2_relcl_414	onset	362	362	RC head `time`
2	s2_relcl_414	disambig	367	367	RC verb `go`
2	s2_relcl_521	onset	457	457	RC head `cloud`
2	s2_relcl_521	disambig	461	461	RC verb `blew`
2	s2_relcl_578	onset	509	509	RC head `people`
2	s2_relcl_578	disambig	513	513	RC verb `fell`
2	s2_relcl_599	onset	526	526	RC head `drops`
2	s2_relcl_599	disambig	528	528	RC verb `were`
2	s2_relcl_629	onset	551	551	RC head `brook`
2	s2_relcl_629	disambig	553	553	RC verb `came`
2	s2_relcl_671	onset	589	589	RC head `mill`
2	s2_relcl_671	disambig	592	592	RC verb `standing`
2	s2_relcl_692	onset	605	605	RC head `stones`
2	s2_relcl_692	disambig	610	610	RC verb `kept`
2	s2_relcl_752	onset	661	661	RC head `drops`
2	s2_relcl_752	disambig	663	663	RC verb `sprang`
2	s2_relcl_780	onset	685	685	RC head `brook`
2	s2_relcl_780	disambig	689	689	RC verb `swimming`
2	s2_relcl_792	onset	695	695	RC head `pond`
2	s2_relcl_792	disambig	701	701	RC verb `living`
2	s2_relcl_817	onset	715	715	RC head `brother`
2	s2_relcl_817	disambig	720	720	RC verb `fooled`
2	s2_relcl_888	onset	782	782	RC head `pond`
2	s2_relcl_888	disambig	786	786	RC verb `play`
2	s2_redrel_23	onset	17	17	RR head `thousands`
2	s2_redrel_23	disambig	22	22	RR participle `excited`
2	s2_nps_136	onset	121	121	NP/S onset `he` under `thought`
2	s2_nps_136	disambig	123	123	NP/S disambig `like`
2	s2_nps_185	onset	164	164	NP/S onset `solution` under `suggested`
2	s2_nps_185	disambig	175	175	NP/S disambig `be`
2	s2_nps_203	onset	181	181	NP/S onset `request` under `understood`
2	s2_nps_203	disambig	182	182	NP/S disambig `came`
2	s2_nps_268	onset	239	239	NP/S onset `vapor` under `know`
2	s2_nps_268	disambig	240	240	NP/S disambig `is`
2	s2_nps_288	onset	255	255	NP/S onset `it` under `see`
2	s2_nps_288	disambig	256	256	NP/S disambig `coming`
2	s2_nps_472	onset	419	419	NP/S onset `wind` under `heard`
2	s2_nps_472	disambig	420	420	NP/S disambig `blow`
2	s2_nps_944	onset	837	837	NP/S onset `brook` under `saw`
2	s2_nps_944	disambig	838	838	NP/S disambig `tumbling`
2	s2_nps_1027	onset	908	908	NP/S onset `journey` under `realized`
2	s2_nps_1027	disambig	909	909	NP/S disambig `was`
2	s2_nps_1095	onset	968	968	NP/S onset `it` under `say`
2	s2_nps_1095	disambig	970	970	NP/S disambig `be`
2	s2_ctrl_on_0	control	5	5	control NOUN `day`
2	s2_ctrl_on_1	control	6	6	control NOUN `it`
2	s2_ctrl_on_2	control	14	14	control NOUN `sea`
2	s2_ctrl_on_3	control	15	15	control NOUN `thousands`
2	s2_ctrl_on_4	control	20	20	control NOUN `water`
2	s2_ctrl_on_5	control	21	21	control NOUN `drops`
2	s2_ctrl_on_6	control	29	29	control NOUN `ocean`
2	s2_ctrl_on_7	control	35	35	control NOUN `these`
2	s2_ctrl_on_8	control	42	42	control NOUN `Aqua`
2	s2_ctrl_on_9	control	43	43	control NOUN `who`
2	s2_ctrl_on_10	control	48	48	control NOUN `backs`
2	s2_ctrl_on_11	control	51	51	control NOUN `fishes`
2	s2_ctrl_on_12	control	53	53	control NOUN `they`
2	s2_ctrl_on_13	control	60	60	control NOUN `waves`
2	s2_ctrl_on_14	control	66	66	control NOUN `he`
2	s2_ctrl_on_15	control	68	68	control NOUN `he`
2	s2_ctrl_on_16	control	74	74	control NOUN `his`
2	s2_ctrl_on_17	control	75	75	control NOUN `mother`
2	s2_ctrl_on_18	control	76	76	control NOUN `lap`
2	s2_ctrl_on_19	control	77	77	control NOUN `His`
2	s2_ctrl_on_20	control	78	78	control NOUN `mother`
2	s2_ctrl_on_21	control	79	79	control NOUN `you`
2	s2_ctrl_on_22	control	83	83	control NOUN `ocean`
2	s2_ctrl_on_23	control	87	87	control NOUN `she`
2	s2_ctrl_on_24	control	90	90	control NOUN `summer`
2	s2_ctrl_on_25	control	91	91	control NOUN `day`
2	s2_ctrl_di_0	control	7	7	control VERB `was`
2	s2_ctrl_di_1	control	19	19	control VERB `sparkling`
2	s2_ctrl_di_2	control	24	24	control VERB `getting`
2	s2_ctrl_di_3	control	26	26	control VERB `play`
2	s2_ctrl_di_4	control	30	30	control VERB `danced`
2	s2_ctrl_di_5	control	36	36	control VERB `was`
2	s2_ctrl_di_6	control	41	41	control VERB `named`
2	s2_ctrl_di_7	control	54	54	control VERB `plunged`
2	s2_ctrl_di_8	control	67	67	control VERB `sprung`
2	s2_ctrl_di_9	control	70	70	control VERB `came`
2	s2_ctrl_di_10	control	80	80	control VERB `know`
2	s2_ctrl_di_11	control	81	81	control VERB `was`
2	s2_ctrl_di_12	control	88	88	control VERB `looked`
2	s2_ctrl_di_13	control	112	112	control VERB `looking`
2	s2_ctrl_di_14	control	120	120	control VERB `thought`
2	s2_ctrl_di_15	control	122	122	control VERB `would`
2	s2_ctrl_di_16	control	125	125	control VERB `have`
2	s2_ctrl_di_17	control	137	137	control VERB `spending`
2	s2_ctrl_di_18	control	149	149	control VERB `had`
2	s2_ctrl_di_19	control	151	151	control VERB `been`
2	s2_ctrl_di_20	control	155	155	control VERB `decided`
2	s2_ctrl_di_21	control	158	158	control VERB `face`
2	s2_ctrl_di_22	control	162	162	control VERB `suggested`
2	s2_ctrl_di_23	control	165	165	control VERB `involving`
2	s2_ctrl_di_24	control	168	168	control VERB `carrying`
2	s2_ctrl_di_25	control	174	174	control VERB `would`
3	s3_relcl_29	onset	25	25	RC head `girl`
3	s3_relcl_29	disambig	28	28	RC verb `sheltered`
3	s3_relcl_68	onset	57	57	RC head `pair`
3	s3_relcl_68	disambig	64	64	RC verb `given`
3	s3_relcl_116	onset	107	107	RC head `carriages`
3	s3_relcl_116	disambig	110	110	RC verb `rolling`
3	s3_relcl_162	onset	149	149	RC head `feet`
3	s3_relcl_162	disambig	151	151	RC verb `were`
3	s3_relcl_194	onset	177	177	RC head `hovel`
3	s3_relcl_194	disambig	180	180	RC verb `used`
3	s3_relcl_245	onset	223	223	RC head `matches`
3	s3_relcl_245	disambig	226	226	RC verb `carried`
3	s3_relcl_253	onset	230	230	RC head `apron`
3	s3_relcl_253	disambig	234	234	RC verb `given`
3	s3_relcl_275	onset	249	249	RC head `hair`
3	s3_relcl_275	disambig	251	251	RC verb `hung`
3	s3_relcl_371	onset	332	332	RC head `rag`
3	s3_relcl_371	disambig	335	335	RC verb `found`
3	s3_relcl_397	onset	351	351	RC head `girl`
3	s3_relcl_397	disambig	358	358	RC verb `enveloped`
3	s3_relcl_475	onset	425	425	RC head `roof`
3	s3_relcl_475	disambig	427	427	RC verb `cover`
3	s3_relcl_533	onset	470	470	RC head `light`
3	s3_relcl_533	disambig	474	474	RC verb `hid`
3	s3_relcl_791	onset	699	699	RC head `sky`
3	s3_relcl_791	disambig	704	704	RC verb `darkened`
3	s3_relcl_830	onset	733	733	RC head `one`
3	s3_relcl_830	disambig	736	736	RC verb `loved`
3	s3_relcl_841	onset	742	742	RC head `one`
3	s3_relcl_841	disambig	746	746	RC verb `used`
3	s3_relcl_849	onset	742	742	RC head `one`
3	s3_relcl_849	disambig	753	753	RC verb `told`
3	s3_relcl_973	onset	858	858	RC head `light`
3	s3_relcl_973	disambig	860	860	RC verb `was`
3	s3_relcl_1028	onset	908	908	RC head `earth`
3	s3_relcl_1028	disambig	911	911	RC verb `was`
3	s3_relcl_1089	onset	960	960	RC head `Children`
3	s3_relcl_1089	disambig	962	962	RC verb `saw`
3	s3_relcl_1103	onset	973	973	RC head `girl`
3	s3_relcl_1103	disambig	976	976	RC verb `knew`
3	s3_relcl_1112	onset	982	982	RC head `Passersby`
3	s3_relcl_1112	disambig	984	984	RC verb `saw`
3	s3_redrel_90	onset	83	83	RR head `slippers`
3	s3_redrel_90	disambig	84	84	RR participle `owned`
3	s3_nps_140	onset	133	133	NP/S onset `he` under `saying`
3	s3_nps_140	disambig	135	135	NP/S disambig `use`
3	s3_nps_204	onset	191	191	NP/S onset `entrance` under `found`
3	s3_nps_204	disambig	193	193	NP/S disambig `locked`
3	s3_nps_489	onset	432	432	NP/S onset `hands` under `decided`
3	s3_nps_489	disambig	433	433	NP/S disambig `were`
3	s3_nps_671	onset	599	599	NP/S onset `birds` under `heard`
3	s3_nps_671	disambig	600	600	NP/S disambig `chirping`
3	s3_nps_717	onset	642	642	NP/S onset `it` under `see`
3	s3_nps_717	disambig	643	643	NP/S disambig `was`
3	s3_nps_795	onset	710	710	NP/S onset `star` under `saw`
3	s3_nps_795	disambig	711	711	NP/S disambig `fall`
3	s3_nps_815	onset	720	720	NP/S onset `Someone` under `thought`
3	s3_nps_815	disambig	722	722	NP/S disambig `dying`
3	s3_nps_849	onset	761	761	NP/S onset `soul` under `told`
3	s3_nps_849	disambig	762	762	NP/S disambig `leaves`
3	s3_nps_900	onset	801	801	NP/S onset `grandmother` under `understood`
3	s3_nps_900	disambig	804	804	NP/S disambig `disappear`
3	s3_nps_932	onset	824	824	NP/S onset `you` under `know`
3	s3_nps_932	disambig	826	826	NP/S disambig `go`
3	s3_nps_965	onset	854	854	NP/S onset `matches` under `saw`
3	s3_nps_965	disambig	855	855	NP/S disambig `glowed`
3	s3_nps_1084	onset	953	953	NP/S onset `She` under `said`
3	s3_nps_1084	disambig	954	954	NP/S disambig `tried`
3	s3_nps_1103	onset	974	974	NP/S onset `who` under `knew`
3	s3_nps_1103	disambig	977	977	NP/S disambig `looked`
3	s3_nps_1112	onset	985	985	NP/S onset `her` under `saw`
3	s3_nps_1112	disambig	986	986	NP/S disambig `sitting`
3	s3_nps_1139	onset	1011	1011	NP/S onset `girl` under `suspected`
3	s3_nps_1139	disambig	1013	1013	NP/S disambig `fallen`
3	s3_ctrl_on_0	control	1	1	control NOUN `It`
3	s3_ctrl_on_1	control	10	10	control NOUN `evening`
3	s3_ctrl_on_2	control	14	14	control NOUN `year`
3	s3_ctrl_on_3	control	17	17	control NOUN `snow`
3	s3_ctrl_on_4	control	27	27	control NOUN `one`
3	s3_ctrl_on_5	control	32	32	control NOUN `air`
3	s3_ctrl_on_6	control	36	36	control NOUN `streets`
3	s3_ctrl_on_7	control	40	40	control NOUN `head`
3	s3_ctrl_on_8	control	43	43	control NOUN `feet`
3	s3_ctrl_on_9	control	49	49	control NOUN `church`
3	s3_ctrl_on_10	control	50	50	control NOUN `mouse`
3	s3_ctrl_on_11	control	51	51	control NOUN `It`
3	s3_ctrl_on_12	control	53	53	control NOUN `she`
3	s3_ctrl_on_13	control	59	59	control NOUN `slippers`
3	s3_ctrl_on_14	control	60	60	control NOUN `her`
3	s3_ctrl_on_15	control	61	61	control NOUN `mother`
3	s3_ctrl_on_16	control	65	65	control NOUN `her`
3	s3_ctrl_on_17	control	67	67	control NOUN `she`
3	s3_ctrl_on_18	control	69	69	control NOUN `home`
3	s3_ctrl_on_19	control	71	71	control NOUN `they`
3	s3_ctrl_on_20	control	75	75	control NOUN `use`
3	s3_ctrl_on_21	control	77	77	control NOUN `her`
3	s3_ctrl_on_22	control	80	80	control NOUN `chocolate`
3	s3_ctrl_on_23	control	81	81	control NOUN `teapot`
3	s3_ctrl_on_24	control	86	86	control NOUN `her`
3	s3_ctrl_on_25	control	87	87	control NOUN `mother`
3	s3_ctrl_on_26	control	95	95	control NOUN `creature`
3	s3_ctrl_on_27	control	98	98	control NOUN `them`
3	s3_ctrl_on_28	control	103	103	control NOUN `street`
3	s3_ctrl_on_29	control	108	108	control NOUN `that`
3	s3_ctrl_on_30	control	115	115	control NOUN `rate`
3	s3_ctrl_on_31	control	119	119	control NOUN `slippers`
3	s3_ctrl_on_32	control	120	120	control NOUN `she`
3	s3_ctrl_on_33	control	126	126	control NOUN `boy`
3	s3_ctrl_on_34	control	136	136	control NOUN `it`
3	s3_ctrl_on_35	control	139	139	control NOUN `home`
3	s3_ctrl_on_36	control	141	141	control NOUN `his`
3	s3_ctrl_di_0	control	2	2	control VERB `was`
3	s3_ctrl_di_1	control	18	18	control VERB `was`
3	s3_ctrl_di_2	control	19	19	control VERB `falling`
3	s3_ctrl_di_3	control	33	33	control VERB `roamed`
3	s3_ctrl_di_4	control	44	44	control VERB `looking`
3	s3_ctrl_di_5	control	54	54	control VERB `had`
3	s3_ctrl_di_6	control	62	62	control VERB `had`
3	s3_ctrl_di_7	control	68	68	control VERB `left`
3	s3_ctrl_di_8	control	72	72	control VERB `were`
3	s3_ctrl_di_9	control	88	88	control VERB `were`
3	s3_ctrl_di_10	control	96	96	control VERB `had`
3	s3_ctrl_di_11	control	97	97	control VERB `lost`
3	s3_ctrl_di_12	control	100	100	control VERB `running`
3	s3_ctrl_di_13	control	105	105	control VERB `avoid`
3	s3_ctrl_di_14	control	109	109	control VERB `were`
3	s3_ctrl_di_15	control	121	121	control VERB `could`
3	s3_ctrl_di_16	control	123	123	control VERB `find`
3	s3_ctrl_di_17	control	127	127	control VERB `seized`
3	s3_ctrl_di_18	control	131	131	control VERB `saying`
3	s3_ctrl_di_19	control	134	134	control VERB `could`
3	s3_ctrl_di_20	control	162	162	control VERB `went`
3	s3_ctrl_di_21	control	164	164	control VERB `wondering`
3	s3_ctrl_di_22	control	167	167	control VERB `would`
3	s3_ctrl_di_23	control	168	168	control VERB `get`
3	s3_ctrl_di_24	control	174	174	control VERB `approached`
3	s3_ctrl_di_25	control	179	179	control VERB `had`
3	s3_ctrl_di_26	control	189	189	control VERB `found`
3	s3_ctrl_di_27	control	192	192	control VERB `was`
3	s3_ctrl_di_28	control	201	201	control VERB `was`
3	s3_ctrl_di_29	control	210	210	control VERB `had`
3	s3_ctrl_di_30	control	211	211	control VERB `given`
3	s3_ctrl_di_31	control	218	218	control VERB `had`
3	s3_ctrl_di_32	control	221	221	control VERB `selling`
3	s3_ctrl_di_33	control	233	233	control VERB `had`
3	s3_ctrl_di_34	control	240	240	control VERB `looked`
3	s3_ctrl_di_35	control	259	259	control VERB `kept`
3	s3_ctrl_di_36	control	260	260	control VERB `landing`
4	s4_relcl_44	onset	41	41	RC head `birds`
4	s4_relcl_44	disambig	43	43	RC verb `were`
4	s4_relcl_70	onset	63	63	RC head `eagle`
4	s4_relcl_70	disambig	66	66	RC verb `thought`
4	s4_relcl_126	onset	101	101	RC head `robin`
4	s4_relcl_126	disambig	112	112	RC verb `had`
4	s4_relcl_151	onset	129	129	RC head `cuckoo`
4	s4_relcl_151	disambig	134	134	RC verb `invited`
4	s4_relcl_171	onset	150	150	RC head `bird`
4	s4_relcl_171	disambig	152	152	RC verb `had`
4	s4_relcl_219	onset	191	191	RC head `numbers`
4	s4_relcl_219	disambig	196	196	RC verb `gathered`
4	s4_relcl_240	onset	210	210	RC head `bird`
4	s4_relcl_240	disambig	213	213	RC verb `fly`
4	s4_relcl_328	onset	293	293	RC head `fields`
4	s4_relcl_328	disambig	295	295	RC verb `were`
4	s4_relcl_337	onset	300	300	RC head `birds`
4	s4_relcl_337	disambig	303	303	RC verb `grew`
4	s4_relcl_379	onset	338	338	RC head `eagle`
4	s4_relcl_379	disambig	340	340	RC verb `seemed`
4	s4_relcl_495	onset	433	433	RC head `back`
4	s4_relcl_495	disambig	437	437	RC verb `lain`
4	s4_relcl_647	onset	564	564	RC head `you`
4	s4_relcl_647	disambig	566	566	RC verb `are`
4	s4_relcl_721	onset	629	629	RC head `condition`
4	s4_relcl_721	disambig	631	631	RC verb `was`
4	s4_relcl_729	onset	636	636	RC head `king`
4	s4_relcl_729	disambig	639	639	RC verb `go`
4	s4_relcl_744	onset	648	648	RC head `bird`
4	s4_relcl_744	disambig	653	653	RC verb `despised`
4	s4_relcl_821	onset	717	717	RC head `bird`
4	s4_relcl_821	disambig	719	719	RC verb `was`
4	s4_relcl_872	onset	752	752	RC head `birds`
4	s4_relcl_872	disambig	758	758	RC verb `outwitted`
4	s4_relcl_1155	onset	1000	1000	RC head `hole`
4	s4_relcl_1155	disambig	1006	1006	RC verb `crept`
4	s4_relcl_1192	onset	1038	1038	RC head `pill`
4	s4_relcl_1192	disambig	1040	1040	RC verb `swallow`
4	s4_relcl_1201	onset	1044	1044	RC head `bird`
4	s4_relcl_1201	disambig	1049	1049	RC verb `slip`
4	s4_redrel_566	onset	496	496	RR head `eagle`
4	s4_redrel_566	disambig	497	497	RR participle `tricked`
4	s4_redrel_961	onset	833	833	RR head `owl`
4	s4_redrel_961	disambig	834	834	RR participle `assigned`
4	s4_redrel_1040	onset	903	903	RR head `bird`
4	s4_redrel_1040	disambig	904	904	RR participle `guarded`
4	s4_redrel_1102	onset	955	955	RR head `owl`
4	s4_redrel_1102	disambig	956	956	RR participle `fooled`
4	s4_nps_263	onset	236	236	NP/S onset `bird` under `notice`
4	s4_nps_263	disambig	237	237	NP/S disambig `hopping`
4	s4_nps_319	onset	288	288	NP/S onset `birds` under `hear`
4	s4_nps_319	disambig	289	289	NP/S disambig `chirping`
4	s4_nps_403	onset	364	364	NP/S onset `What` under `thought`
4	s4_nps_403	disambig	365	365	NP/S disambig `is`
4	s4_nps_585	onset	518	518	NP/S onset `bird` under `expected`
4	s4_nps_585	disambig	520	520	NP/S disambig `come`
4	s4_nps_692	onset	606	606	NP/S onset `who` under `decide`
4	s4_nps_692	disambig	608	608	NP/S disambig `be`
4	s4_nps_708	onset	621	621	NP/S onset `case` under `decided`
4	s4_nps_708	disambig	624	624	NP/S disambig `resolved`
4	s4_nps_885	onset	769	769	NP/S onset `we` under `think`
4	s4_nps_885	disambig	771	771	NP/S disambig `reward`
4	s4_nps_968	onset	843	843	NP/S onset `job` under `found`
4	s4_nps_968	disambig	844	844	NP/S disambig `was`
4	s4_nps_1002	onset	859	859	NP/S onset `I` under `thought`
4	s4_nps_1002	disambig	861	861	NP/S disambig `close`
4	s4_nps_1050	onset	917	917	NP/S onset `eyes` under `saw`
4	s4_nps_1050	disambig	919	919	NP/S disambig `shut`
4	s4_ctrl_on_0	control	4	4	control NOUN `time`
4	s4_ctrl_on_1	control	6	6	control NOUN `birds`
4	s4_ctrl_on_2	control	8	8	control NOUN `it`
4	s4_ctrl_on_3	control	10	10	control NOUN `their`
4	s4_ctrl_on_4	control	11	11	control NOUN `heads`
4	s4_ctrl_on_5	control	13	13	control NOUN `they`
4	s4_ctrl_on_6	control	17	17	control NOUN `master`
4	s4_ctrl_on_7	control	22	22	control NOUN `their`
4	s4_ctrl_on_8	control	23	23	control NOUN `number`
4	s4_ctrl_on_9	control	27	27	control NOUN `king`
4	s4_ctrl_on_10	control	29	29	control NOUN `meeting`
4	s4_ctrl_on_11	control	33	33	control NOUN `birds`
4	s4_ctrl_on_12	control	38	38	control NOUN `they`
4	s4_ctrl_on_13	control	42	42	control NOUN `who`
4	s4_ctrl_on_14	control	48	48	control NOUN `lands`
4	s4_ctrl_on_15	control	55	55	control NOUN `birds`
4	s4_ctrl_on_16	control	59	59	control NOUN `meadows`
4	s4_ctrl_on_17	control	61	61	control NOUN `woods`
4	s4_ctrl_on_18	control	64	64	control NOUN `who`
4	s4_ctrl_on_19	control	67	67	control NOUN `himself`
4	s4_ctrl_on_20	control	71	71	control NOUN `king`
4	s4_ctrl_on_21	control	75	75	control NOUN `It`
4	s4_ctrl_on_22	control	78	78	control NOUN `hawk`
4	s4_ctrl_on_23	control	79	79	control NOUN `who`
4	s4_ctrl_on_24	control	85	85	control NOUN `meeting`
4	s4_ctrl_on_25	control	87	87	control NOUN `he`
4	s4_ctrl_on_26	control	91	91	control NOUN `horse`
4	s4_ctrl_on_27	control	93	93	control NOUN `king`
4	s4_ctrl_on_28	control	96	96	control NOUN `fry`
